0 0 0     0.000128416 0 0
0.00487981 0 0.0011207     0.00487981 0 0.0011207
0.00487981 0 0.0011207     0.00487981 0 0.0011207
0.00487981 0 0.0011207     0.00487981 0 0.0011207
0.00487981 0 0.0011207     0.00487981 0 0.0011207
0.00487981 0 0.0011207     0.00487981 0 0.0011207
0.00487981 0 0.0011207     0.00487981 0 0.0011207
0.00487981 0 0.0011207     0.00487981 0 0.0011207
0.00487981 0 0.0011207     0.00500822 0 0.0011207
0.00500822 0 0.0011207     0.00500822 0 0.0011207
0.00500822 0 0.0011207     0.00500822 0 0.0011207
0.00500822 0 0.0011207     0.00500822 0 0.0011207
0.00500822 0 0.0011207     0.00500822 0 0.0011207
0.00500822 0 0.0011207     0.00500822 0 0.0011207
0.00500822 0 0.0011207     0.00500822 0 0.0011207
0.00500822 0 0.0011207     0.00500822 0 0.0011207
0.00500822 0 0.0011207     0.00513664 0 0.0011207
0.00513664 0 0.0011207     0.00513664 0 0.0011207
0.00513664 0 0.0011207     0.00513664 0 0.0011207
0.00513664 0 0.0011207     0.00513664 0 0.0011207
0.00513664 0 0.0011207     0.00513664 0 0.0011207
0.00513664 0 0.0011207     0.00513664 0 0.0011207
0.00513664 0 0.0011207     0.00513664 0 0.0011207
0.00513664 0 0.0011207     0.00513664 0 0.0011207
0.00513664 0 0.0011207     0.00526506 0 0.0011207
0.00526506 0 0.0011207     0.00526506 0 0.0011207
0.00526506 0 0.0011207     0.00526506 0 0.0011207
0.00526506 0 0.0011207     0.00526506 0 0.0011207
0.00526506 0 0.0011207     0.00526506 0 0.0011207
0.00526506 0 0.0011207     0.00526506 0 0.00126078
0.00526506 0 0.00126078     0.00526506 0 0.00126078
0.00526506 0 0.00126078     0.00526506 0 0.00126078
0.00526506 0 0.00126078     0.00539347 0 0.00126078
0.00539347 0 0.00126078     0.00539347 0 0.00126078
0.00539347 0 0.00126078     0.00539347 0 0.00126078
0.00539347 0 0.00126078     0.00539347 0 0.00126078
0.00539347 0 0.00126078     0.00539347 0 0.00126078
0.00539347 0 0.00126078     0.00539347 0 0.00126078
0.00539347 0 0.00126078     0.00539347 0 0.00126078
0.00539347 0 0.00126078     0.00539347 0 0.00126078
0.00539347 0 0.00126078     0.00539347 0 0.00126078
0.00539347 0 0.00126078     0.00552189 0 0.00126078
0.00552189 0 0.00126078     0.00552189 0 0.00126078
0.00552189 0 0.00126078     0.00552189 0 0.00126078
0.00552189 0 0.00126078     0.00552189 0 0.00126078
0.00552189 0 0.00126078     0.00552189 0 0.00126078
0.00552189 0 0.00126078     0.00552189 0 0.00126078
0.00552189 0 0.00126078     0.00552189 0 0.00126078
0.00552189 0 0.00126078     0.00552189 0 0.00126078
0.00552189 0 0.00126078     0.0056503 0 0.00126078
0.0056503 0 0.00126078     0.0056503 0 0.00126078
0.0056503 0 0.00126078     0.0056503 0 0.00126078
0.0056503 0 0.00126078     0.0056503 0 0.00126078
0.0056503 0 0.00126078     0.0056503 0 0.00126078
0.0056503 0 0.00126078     0.0056503 0 0.00126078
0.0056503 0 0.00126078     0.0056503 0 0.00126078
0.0056503 0 0.00126078     0.0056503 0 0.00126078
0.0056503 0 0.00126078     0.00577872 0 0.00126078
0.00577872 0 0.00126078     0.00577872 0 0.00126078
0.00577872 0 0.00126078     0.00577872 0 0.00140087
0.00577872 0 0.00140087     0.00577872 0 0.00140087
0.00577872 0 0.00140087     0.00577872 0 0.00140087
0.00577872 0 0.00140087     0.00577872 0 0.00140087
0.00577872 0 0.00140087     0.00577872 0 0.00140087
0.00577872 0 0.00140087     0.00577872 0 0.00140087
0.00577872 0 0.00140087     0.00577872 -0.000140087 0.00140087
0.00577872 -0.000140087 0.00140087     0.00590714 -0.000140087 0.00140087
0.00590714 -0.000140087 0.00140087     0.00590714 -0.000140087 0.00140087
0.00590714 -0.000140087 0.00140087     0.00590714 -0.000140087 0.00140087
0.00590714 -0.000140087 0.00140087     0.00590714 -0.000140087 0.00140087
0.00590714 -0.000140087 0.00140087     0.00590714 -0.000140087 0.00140087
0.00590714 -0.000140087 0.00140087     0.00590714 -0.000140087 0.00140087
0.00590714 -0.000140087 0.00140087     0.00590714 -0.000140087 0.00140087
0.00590714 -0.000140087 0.00140087     0.00590714 -0.000140087 0.00140087
0.00590714 -0.000140087 0.00140087     0.00603555 -0.000140087 0.00140087
0.00603555 -0.000140087 0.00140087     0.00603555 -0.000140087 0.00140087
0.00603555 -0.000140087 0.00140087     0.00603555 -0.000140087 0.00140087
0.00603555 -0.000140087 0.00140087     0.00603555 -0.000140087 0.00140087
0.00603555 -0.000140087 0.00140087     0.00603555 -0.000140087 0.00140087
0.00603555 -0.000140087 0.00140087     0.00603555 -0.000140087 0.00140087
0.00603555 -0.000140087 0.00140087     0.00603555 -0.000140087 0.00140087
0.00603555 -0.000140087 0.00140087     0.00603555 -0.000140087 0.00140087
0.00603555 -0.000140087 0.00140087     0.00616397 -0.000140087 0.00140087
0.00616397 -0.000140087 0.00140087     0.00616397 -0.000140087 0.00140087
0.00616397 -0.000140087 0.00140087     0.00616397 -0.000140087 0.00140087
0.00616397 -0.000140087 0.00140087     0.00616397 -0.000140087 0.00140087
0.00616397 -0.000140087 0.00140087     0.00616397 -0.000140087 0.00154096
0.00616397 -0.000140087 0.00154096     0.00616397 -0.000140087 0.00154096
0.00616397 -0.000140087 0.00154096     0.00616397 -0.000140087 0.00154096
0.00616397 -0.000140087 0.00154096     0.00629238 -0.000140087 0.00154096
0.00629238 -0.000140087 0.00154096     0.00629238 -0.000140087 0.00154096
0.00629238 -0.000140087 0.00154096     0.00629238 -0.000140087 0.00154096
0.00629238 -0.000140087 0.00154096     0.00629238 -0.000140087 0.00154096
