0 0 0     -1.77275e-09 2.76094e-05 0
0.000169029 0.000828938 7.17074e-08     0.000169029 0.000828938 7.17074e-08
0.000169029 0.000828938 7.17074e-08     0.000169029 0.000828938 7.17074e-08
0.000169029 0.000828938 7.17074e-08     0.000169029 0.000828938 7.17074e-08
0.000169029 0.000828938 7.17074e-08     0.000169029 0.000828938 7.17074e-08
0.000169029 0.000828938 7.17074e-08     0.000169029 0.000828938 7.17074e-08
0.000169029 0.000828938 7.17074e-08     0.000168921 0.00085657 7.17074e-08
0.000168921 0.00085657 7.17074e-08     0.000168921 0.00085657 7.17074e-08
0.000168921 0.00085657 7.17074e-08     0.000168921 0.00085657 7.17074e-08
0.000168921 0.00085657 7.17074e-08     0.000168921 0.00085657 7.17074e-08
0.000168921 0.00085657 7.17074e-08     0.000168921 0.00085657 7.17074e-08
0.000168921 0.00085657 7.17074e-08     0.000168921 0.00085657 7.17074e-08
0.000168921 0.00085657 7.17074e-08     0.000168921 0.00085657 7.17074e-08
0.000168921 0.00085657 7.17074e-08     0.000168809 0.000884201 7.17074e-08
0.000168809 0.000884201 7.17074e-08     0.000168809 0.000884201 7.17074e-08
0.000168809 0.000884201 7.17074e-08     0.000168809 0.000884201 7.17074e-08
0.000168809 0.000884201 7.17074e-08     0.000168809 0.000884201 7.17074e-08
0.000168809 0.000884201 7.17074e-08     0.000168809 0.000884201 7.17074e-08
0.000168809 0.000884201 7.17074e-08     0.000168809 0.000884201 7.17074e-08
0.000168809 0.000884201 7.17074e-08     0.000168809 0.000884201 7.17074e-08
0.000168809 0.000884201 7.17074e-08     0.000197131 0.000911952 9.76018e-08
0.000197131 0.000911952 9.76018e-08     0.000197131 0.000911952 9.76018e-08
0.000197131 0.000911952 9.76018e-08     0.000197131 0.000911952 9.76018e-08
0.000197131 0.000911952 9.76018e-08     0.000197012 0.000939587 9.76018e-08
0.000197012 0.000939587 9.76018e-08     0.000197012 0.000939587 9.76018e-08
0.000197012 0.000939587 9.76018e-08     0.000197012 0.000939587 9.76018e-08
0.000197012 0.000939587 9.76018e-08     0.000197012 0.000939587 9.76018e-08
0.000197012 0.000939587 9.76018e-08     0.000197012 0.000939587 9.76018e-08
0.000197012 0.000939587 9.76018e-08     0.00019689 0.000967222 9.76018e-08
0.00019689 0.000967222 9.76018e-08     0.00019689 0.000967222 9.76018e-08
0.00019689 0.000967222 9.76018e-08     0.00019689 0.000967222 9.76018e-08
0.00019689 0.000967222 9.76018e-08     0.00019689 0.000967222 9.76018e-08
0.00019689 0.000967222 9.76018e-08     0.000196764 0.000994857 9.76018e-08
0.000196764 0.000994857 9.76018e-08     0.000196764 0.000994857 9.76018e-08
0.000196764 0.000994857 9.76018e-08     0.000196764 0.000994857 9.76018e-08
0.000196764 0.000994857 9.76018e-08     0.000196764 0.000994857 9.76018e-08
0.000196764 0.000994857 9.76018e-08     0.000196764 0.000994857 9.76018e-08
0.000196764 0.000994857 9.76018e-08     0.000196764 0.000994857 9.76018e-08
0.000196764 0.000994857 9.76018e-08     0.000196764 0.000994857 9.76018e-08
0.000196764 0.000994857 9.76018e-08     0.000196634 0.00102249 9.76018e-08
0.000196634 0.00102249 9.76018e-08     0.000196634 0.00102249 9.76018e-08
0.000196634 0.00102249 9.76018e-08     0.000196634 0.00102249 9.76018e-08
0.000196634 0.00102249 9.76018e-08     0.000225072 0.00102263 1.2748e-07
0.000225072 0.00102263 1.2748e-07     0.000225072 0.00102263 1.2748e-07
0.000225072 0.00102263 1.2748e-07     0.000225072 0.00102263 1.2748e-07
0.000225072 0.00102263 1.2748e-07     0.000225072 0.00102263 1.2748e-07
0.000225072 0.00102263 1.2748e-07     0.000225072 0.00102263 1.2748e-07
0.000225072 0.00102263 1.2748e-07     0.000224939 0.00105026 1.2748e-07
0.000224939 0.00105026 1.2748e-07     0.000224939 0.00105026 1.2748e-07
0.000224939 0.00105026 1.2748e-07     0.000224939 0.00105026 1.2748e-07
0.000224939 0.00105026 1.2748e-07     0.000224939 0.00105026 1.2748e-07
0.000224939 0.00105026 1.2748e-07     0.000224939 0.00105026 1.2748e-07
0.000224939 0.00105026 1.2748e-07     0.000224939 0.00105026 1.2748e-07
0.000224939 0.00105026 1.2748e-07     0.000224939 0.00105026 1.2748e-07
0.000224939 0.00105026 1.2748e-07     0.000224939 0.00105026 1.2748e-07
0.000224939 0.00105026 1.2748e-07     0.000224802 0.0010779 1.2748e-07
0.000224802 0.0010779 1.2748e-07     0.000224802 0.0010779 1.2748e-07
0.000224802 0.0010779 1.2748e-07     0.000224802 0.0010779 1.2748e-07
0.000224802 0.0010779 1.2748e-07     0.000224802 0.0010779 1.2748e-07
0.000224802 0.0010779 1.2748e-07     0.000224802 0.0010779 1.2748e-07
0.000224802 0.0010779 1.2748e-07     0.000224802 0.0010779 1.2748e-07
0.000224802 0.0010779 1.2748e-07     0.000224802 0.0010779 1.2748e-07
0.000224802 0.0010779 1.2748e-07     0.000224802 0.0010779 1.2748e-07
0.000224802 0.0010779 1.2748e-07     0.000224662 0.00110554 1.2748e-07
0.000224662 0.00110554 1.2748e-07     0.000224662 0.00110554 1.2748e-07
0.000224662 0.00110554 1.2748e-07     0.000224662 0.00110554 1.2748e-07
0.000224662 0.00110554 1.2748e-07     0.000224662 0.00110554 1.2748e-07
0.000224662 0.00110554 1.2748e-07     0.000224662 0.00110554 1.2748e-07
0.000224662 0.00110554 1.2748e-07     0.000224662 0.00110554 1.2748e-07
0.000224662 0.00110554 1.2748e-07     0.000224662 0.00110554 1.2748e-07
0.000224662 0.00110554 1.2748e-07     0.000224662 0.00110554 1.2748e-07
0.000224662 0.00110554 1.2748e-07     0.000224518 0.00113318 1.2748e-07
0.000224518 0.00113318 1.2748e-07     0.000224518 0.00113318 1.2748e-07
0.000224518 0.00113318 1.2748e-07     0.000224518 0.00113318 1.2748e-07
0.000224518 0.00113318 1.2748e-07     0.000224518 0.00113318 1.2748e-07
0.000224518 0.00113318 1.2748e-07     0.000224518 0.00113318 1.2748e-07
0.000224518 0.00113318 1.2748e-07     0.000252955 0.00113333 1.61342e-07
0.000252955 0.00113333 1.61342e-07     0.000252955 0.00113333 1.61342e-07
0.000252955 0.00113333 1.61342e-07     0.000252955 0.00113333 1.61342e-07
0.000252955 0.00113333 1.61342e-07     0.000252808 0.00116097 1.61342e-07
0.000252808 0.00116097 1.61342e-07     0.000252808 0.00116097 1.61342e-07
0.000252808 0.00116097 1.61342e-07     0.000252808 0.00116097 1.61342e-07
0.000252808 0.00116097 1.61342e-07     0.000252808 0.00116097 1.61342e-07
0.000252808 0.00116097 1.61342e-07     0.000252808 0.00116097 1.61342e-07
0.000252808 0.00116097 1.61342e-07     0.000252808 0.00116097 1.61342e-07
0.000252808 0.00116097 1.61342e-07     0.000252808 0.00116097 1.61342e-07
0.000252808 0.00116097 1.61342e-07     0.000252808 0.00116097 1.61342e-07
0.000252808 0.00116097 1.61342e-07     0.000252808 0.00116097 1.61342e-07
0.000252808 0.00116097 1.61342e-07     0.000252657 0.00118861 1.61342e-07
0.000252657 0.00118861 1.61342e-07     0.000252657 0.00118861 1.61342e-07
0.000252657 0.00118861 1.61342e-07     0.000252657 0.00118861 1.61342e-07
0.000252657 0.00118861 1.61342e-07     0.000252657 0.00118861 1.61342e-07
